key1,key2,value
1,1,10
1,2,9
1,3,7
1,4,9
1,5,9
1,6,10
1,7,6
1,8,8
1,9,5
1,10,9
1,11,10
1,12,9
1,13,5
1,14,7
1,15,5
1,16,5
1,17,8
1,18,6
1,19,9
1,20,6
1,21,7
1,22,9
1,23,6
1,24,7
1,25,10
1,26,8
1,27,7
1,28,6
1,29,5
1,30,9
1,31,8
1,32,6
1,33,10
1,34,8
1,35,7
1,36,6
1,37,5
1,38,5
1,39,10
1,40,5
2,1,5
2,2,9
2,3,10
2,4,8
2,5,6
2,6,5
2,7,9
2,8,5
2,9,10
2,10,10
2,11,5
2,12,7
2,13,10
2,14,6
2,15,8
2,16,7
2,17,7
2,18,8
2,19,5
2,20,5
2,21,6
2,22,5
2,23,7
2,24,7
2,25,10
2,26,7
2,27,8
2,28,10
2,29,5
2,30,5
2,31,5
2,32,5
2,33,6
2,34,10
2,35,10
2,36,6
2,37,7
2,38,7
2,39,8
2,40,9
3,1,7
3,2,10
3,3,5
3,4,7
3,5,7
3,6,6
3,7,5
3,8,8
3,9,8
3,10,8
3,11,7
3,12,8
3,13,10
3,14,8
3,15,8
3,16,10
3,17,6
3,18,5
3,19,6
3,20,10
3,21,10
3,22,5
3,23,6
3,24,5
3,25,8
3,26,9
3,27,8
3,28,9
3,29,10
3,30,8
3,31,6
3,32,9
3,33,8
3,34,7
3,35,9
3,36,5
3,37,10
3,38,10
3,39,6
3,40,8
